transaction_timestamp,transaction_hour,transaction_day_of_week,transaction_amount_inr,is_international,velocity_last_1h,velocity_last_24h,avg_txn_amount_30d,std_txn_amount_30d,distance_from_home_km,card_age_days,credit_limit_inr,is_fraud,amount_to_limit_ratio,amount_vs_avg_ratio,velocity_ratio,high_velocity,is_night,is_weekend,high_distance,amount_std_ratio,intl_high_amt,merchant_category_entertainment,merchant_category_fuel,merchant_category_grocery,merchant_category_healthcare,merchant_category_jewellery,merchant_category_online_retail,merchant_category_restaurant,merchant_category_travel,merchant_category_utilities,pos_entry_mode_CNP,pos_entry_mode_SWIPE,country_code_AU,country_code_CA,country_code_DE,country_code_FR,country_code_GB,country_code_IN,country_code_JP,country_code_SG,country_code_US
2023-10-28 08:59:47,8,5,291.07,0,2,2,67.88,385.43,178.6,1417,50000,0,0.0058214,4.22575493612079,0.6666666666666666,0,0,1,0,0.7532282690267319,0.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
2023-09-08 23:56:49,23,4,221.33,0,3,4,49.88,322.25,184.1,1792,200000,0,0.00110665,4.3500393081761,0.6,0,1,0,0,0.6847022428460944,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
2023-09-26 21:01:05,21,1,231.06,0,3,2,31.52,369.7,127.6,859,75000,0,0.0030808,7.105166051660517,1.0,0,0,0,0,0.623307256541678,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2023-04-11 23:06:34,23,1,211.16,0,1,1,134.1,376.04,196.4,1491,50000,0,0.0042232,1.5629903774981495,0.5,0,1,0,0,0.5600466793974114,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-09-20 19:31:44,19,2,139.86,0,3,2,119.01,132.11,43.6,347,150000,0,0.0009324000000000001,1.1654028830930756,1.0,0,0,0,0,1.050709939148073,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-02-26 19:00:35,19,6,172.42,0,2,0,33.91,267.62,213.2,212,150000,0,0.0011494666666666666,4.93898596390719,2.0,0,0,1,1,0.6418732782369145,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
2023-11-23 13:18:13,13,3,173.78,0,1,5,61.03,289.37,184.1,934,150000,0,0.0011585333333333334,2.8015476382395614,0.16666666666666666,0,0,0,0,0.5984778041808727,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
2023-04-04 21:20:06,21,1,127.64,0,1,1,148.52,181.26,297.0,572,200000,0,0.0006382,0.85366506153023,0.5,0,0,0,1,0.7003182267090969,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-01-20 01:05:31,1,4,146.98,0,3,0,41.33,216.89,64.5,158,500000,0,0.00029395999999999996,3.4722419088117173,3.0,0,1,0,0,0.674560558079765,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-02-04 10:51:53,10,5,734.34,0,0,8,122.15,40.3,178.2,500,50000,0,0.0146868,5.962971985383678,0.0,0,0,1,0,17.780629539951576,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-09-01 03:17:39,3,4,91.72,0,1,8,108.91,277.66,286.4,934,50000,0,0.0018344,0.8345009553270858,0.1111111111111111,0,1,0,1,0.3291466303021603,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-07-29 14:43:52,14,5,92.86,0,3,8,123.82,243.02,168.3,1603,200000,0,0.0004643,0.7439512898573947,0.3333333333333333,0,0,1,0,0.380542578477174,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2023-12-19 20:06:36,3,1,459.82,0,11,10,70.94,186.98,4178.3,1552,150000,1,0.0030654666666666665,6.391715318320823,1.0,1,1,0,1,2.44611128843494,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-12-24 00:19:30,0,6,93.67,0,3,3,107.72,218.15,282.9,1175,100000,0,0.0009367000000000001,0.861571008094187,0.75,0,1,1,1,0.42742413871777324,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-01-14 13:52:41,13,5,59.64,0,1,6,43.84,322.98,169.3,416,300000,0,0.0001988,1.3300624442462086,0.14285714285714285,0,0,1,0,0.18408543737267732,0.0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
2023-10-07 10:54:47,10,5,143.94,0,2,4,359.42,243.8,23.6,614,500000,0,0.00028788,0.39936740469452303,0.4,0,0,1,0,0.5879901960784313,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-03-26 02:59:44,2,6,35.83,0,2,8,143.93,279.01,286.9,454,500000,0,7.166e-05,0.24722279721244736,0.2222222222222222,0,1,1,1,0.1279597157244384,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
2023-12-23 19:45:13,19,5,36.32,0,3,3,122.57,122.61,61.3,182,150000,0,0.00024213333333333333,0.2939224730921745,0.75,0,0,1,0,0.2938273602459348,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-10-15 13:58:12,13,6,165.77,1,0,6,121.54,26.98,173.6,1200,500000,0,0.00033154,1.35278276481149,0.0,0,0,1,0,5.924588992137241,0.00033154,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2023-02-14 04:05:50,4,1,427.38,0,0,2,67.53,243.62,113.6,1080,75000,0,0.0056984,6.236392820662483,0.0,0,0,0,0,1.7471179789060582,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-11-21 12:51:25,12,1,23.78,0,0,4,375.86,203.9,130.5,1487,50000,0,0.0004756,0.06310035556970758,0.0,0,0,0,0,0.11605661298194242,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2023-11-19 17:53:29,17,6,271.14,0,1,6,138.08,241.01,230.3,936,300000,0,0.0009038,1.9495254529767039,0.14285714285714285,0,0,1,1,1.1203669269864882,0.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
